runner_id,race_date,race_track,race_distance,race_track_condition,race_track_circ,race_track_straight,race_start_time,race_number,runner_number,horse_name,horse_url,runner_jockey_url,runner_weight,runner_jockey_claiming,runner_barrier,performance_date,performance_track,performance_jockey_url,performance_result,performance_starting_price,performance_prize_pool,performance_prize_money,performance_starters,performance_distance,performance_track_condition,performance_barrier,performance_lengths,performance_carried,performance_weight,performance_winning_time
runner-001,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,1,Harbour Light,horse/harbour_light,jockey/rhodes,56.0,1.0,2,2026-06-20T00:00:00+00:00,Ascot,jockey/rhodes,2,4.2,3000,600,6,1400,GOOD,2,0.4,55.0,56.0,83.2
runner-001,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,1,Harbour Light,horse/harbour_light,jockey/rhodes,56.0,1.0,2,2026-06-01T00:00:00+00:00,Ascot,jockey/rhodes,1,4.0,1200,600,12,1400,GOOD,3,0,56.0,56.0,83.0
runner-001,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,1,Harbour Light,horse/harbour_light,jockey/rhodes,56.0,1.0,2,2026-05-10T00:00:00+00:00,Belmont,jockey/rhodes,2,5.0,1200,250,10,1400,SOFT,5,0.8,56.5,56.5,84.5
runner-001,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,1,Harbour Light,horse/harbour_light,jockey/rhodes,56.0,1.0,2,2026-04-14T00:00:00+00:00,Pinjarra,jockey/lopez,4,6.5,1000,60,11,1500,GOOD,7,2.0,57.0,57.0,90.0
runner-002,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,2,River Crown,horse/river_crown,jockey/mills,58.0,,5,2026-06-20T00:00:00+00:00,Ascot,jockey/mills,4,5.0,3000,180,6,1400,GOOD,5,1.7,58.0,58.0,83.2
runner-002,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,2,River Crown,horse/river_crown,jockey/mills,58.0,,5,2026-05-28T00:00:00+00:00,Ascot,jockey/mills,3,5.5,1400,180,13,1400,GOOD,6,1.2,58.0,58.0,83.2
runner-002,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,2,River Crown,horse/river_crown,jockey/mills,58.0,,5,2026-05-02T00:00:00+00:00,Belmont,jockey/ellis,1,4.8,1600,800,12,1600,GOOD,4,0,57.5,57.5,95.0
runner-002,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,2,River Crown,horse/river_crown,jockey/mills,58.0,,5,2026-03-21T00:00:00+00:00,Ascot,jockey/mills,2,6.0,1200,260,12,1300,SOFT,2,0.5,58.0,58.0,78.0
runner-003,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,3,Coastal Star,horse/coastal_star,jockey/price,55.5,1.5,8,2026-06-20T00:00:00+00:00,Ascot,jockey/price,6,12.0,3000,60,6,1400,GOOD,8,4.6,54.0,55.5,83.2
runner-003,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,3,Coastal Star,horse/coastal_star,jockey/price,55.5,1.5,8,2026-05-30T00:00:00+00:00,Bunbury,jockey/price,6,10.0,1000,0,10,1400,GOOD,9,4.0,55.5,55.5,84.0
runner-003,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,3,Coastal Star,horse/coastal_star,jockey/price,55.5,1.5,8,2026-05-01T00:00:00+00:00,Ascot,jockey/price,5,9.0,1300,0,12,1200,GOOD,7,3.5,56.0,56.0,70.5
runner-003,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,3,Coastal Star,horse/coastal_star,jockey/price,55.5,1.5,8,2026-04-05T00:00:00+00:00,Belmont,jockey/hart,2,7.5,1100,220,11,1400,SOFT,4,0.7,56.5,56.5,84.8
runner-004,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,4,Desert Echo,horse/desert_echo,jockey/wu,54.5,0.5,1,2026-06-20T00:00:00+00:00,Ascot,jockey/wu,1,3.6,3000,1500,6,1400,GOOD,1,0,54.0,54.5,83.2
runner-004,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,4,Desert Echo,horse/desert_echo,jockey/wu,54.5,0.5,1,2026-06-05T00:00:00+00:00,Ascot,jockey/wu,1,3.8,1800,900,11,1400,GOOD,1,0,54.5,54.5,82.8
runner-004,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,4,Desert Echo,horse/desert_echo,jockey/wu,54.5,0.5,1,2026-05-12T00:00:00+00:00,Belmont,jockey/wu,1,4.2,1600,800,10,1400,GOOD,2,0,55.0,55.0,83.5
runner-004,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,4,Desert Echo,horse/desert_echo,jockey/wu,54.5,0.5,1,2026-04-09T00:00:00+00:00,Ascot,jockey/wu,2,4.0,1500,300,12,1200,GOOD,3,0.3,54.0,54.0,69.8
runner-005,2026-06-20T00:00:00+00:00,Ascot,1400,GOOD,,,2026-06-20T07:20:00+00:00,6,5,Midnight Reef,horse/midnight_reef,jockey/irving,57.5,,10,2026-06-20T00:00:00+00:00,Ascot,jockey/irving,5,9.5,3000,120,6,1400,GOOD,10,3.1,57.5,57.5,83.2
